Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,10uF,C15525
"C10, C11, C12, C13, C7, C8, C9",0402,7,100n,C1525
C17,0402,1,100nF,C1525
C3,0402,1,2.2uF,C307418
C4,0402,1,2.2uF,C307418
"C5, C6",0402,2,100n,C1525
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D5, D6, D7, D8, D9",Diode_TH_SMD,47,D,C81598
F2,1206,1,fuse,C70076
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
"R1, R2",0402,2,27,C25190
"R10, R9",0402,2,5.1k,C25905
R11,0402,1,10kΩ,C25744
R3,0402,1,1k,C11702
R8,0402,1,1KΩ,C11702
SW48,SW_Push_1P1T_XKB_TS-1187A,1,boot,C318884
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,W25Q16JVUXIQ_WIN,1,W25Q16JVUXIQ,C2843335
U4,SOT-23-3,1,XC6206P332MR,C5446
U5,SOT-363-6_2P2X1P35_ONS,1,SMF05CT1G,C15879
Y2,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,12MHz,C341520
